State,Stations,Time Frame,Year,State Trend Sign,Table Name,Dynamic State Trend,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Trend Magnitude,State Trends
NC,,Winter (DJF),2009,+,StateAvgTv2.txt,0.09,2020,1980,42.533333333,42.53,2009,0.088,0.087502904
NC,,Winter (DJF),1994,+,StateAvgTv2.txt,0.09,2020,1980,39.766666667,39.77,1994,0.088,0.087502904
NC,,Winter (DJF),2018,+,StateAvgTv2.txt,0.09,2020,1980,43.4,43.40,2018,0.088,0.087502904
NC,,Winter (DJF),1997,+,StateAvgTv2.txt,0.09,2020,1980,43.633333333,43.63,1997,0.088,0.087502904
NC,,Winter (DJF),1982,+,StateAvgTv2.txt,0.09,2020,1980,39,39.00,1982,0.088,0.087502904
NC,,Winter (DJF),2014,+,StateAvgTv2.txt,0.09,2020,1980,41.233333333,41.23,2014,0.088,0.087502904
NC,,Winter (DJF),2019,+,StateAvgTv2.txt,0.09,2020,1980,45.033333333,45.03,2019,0.088,0.087502904
NC,,Winter (DJF),2000,+,StateAvgTv2.txt,0.09,2020,1980,42.6,42.60,2000,0.088,0.087502904
NC,,Winter (DJF),1999,+,StateAvgTv2.txt,0.09,2020,1980,45.6,45.60,1999,0.088,0.087502904
NC,,Winter (DJF),2016,+,StateAvgTv2.txt,0.09,2020,1980,45.433333333,45.43,2016,0.088,0.087502904
NC,,Winter (DJF),2010,+,StateAvgTv2.txt,0.09,2020,1980,38.066666667,38.07,2010,0.088,0.087502904
NC,,Winter (DJF),1987,+,StateAvgTv2.txt,0.09,2020,1980,40.2,40.20,1987,0.088,0.087502904
NC,,Winter (DJF),2017,+,StateAvgTv2.txt,0.09,2020,1980,46.7,46.70,2017,0.088,0.087502904
NC,,Winter (DJF),1990,+,StateAvgTv2.txt,0.09,2020,1980,43.1,43.10,1990,0.088,0.087502904
NC,,Winter (DJF),2011,+,StateAvgTv2.txt,0.09,2020,1980,38.5,38.50,2011,0.088,0.087502904
NC,,Winter (DJF),1993,+,StateAvgTv2.txt,0.09,2020,1980,41.833333333,41.83,1993,0.088,0.087502904
NC,,Winter (DJF),1996,+,StateAvgTv2.txt,0.09,2020,1980,39.433333333,39.43,1996,0.088,0.087502904
NC,,Winter (DJF),2012,+,StateAvgTv2.txt,0.09,2020,1980,45.533333333,45.53,2012,0.088,0.087502904
NC,,Winter (DJF),1980,+,StateAvgTv2.txt,0.09,2020,1980,39.7,39.70,1980,0.088,0.087502904
